full link,volume,chapter,chapter number,pages,text
"Vol. 5, LIX",5,,LIX,P. 544-546,"The tragical death of Charles begat a question, whether the people, in any case, were intitled to judge and to punish their sovereign; and most men, regarding chiefly the atrocious usurpation of the pretended judges, and the merit of the virtuous [ ]{Va(1754), 469.30: [, tho' perhaps not entirely innocent,]}†[20] prince who suffered, were inclined to condemn the republican principle, as highly seditious and extravagant: But there still were a few, who, abstracting from the particular circumstances of this case, were able to consider the question in general, and were inclined to moderate, not contradict, the prevailing sentiment. Such might have been their reasoning. If ever, on any occasion, it were laudable to conceal truth from the populace; it must be confessed, that the doctrine of resistance affords such an example; and that all speculative reasoners ought to observe, with regard to this principle, the same cautious silence, which the laws, in every species of government, have ever prescribed to themselves. Government is instituted, in order to restrain the fury and injustice of the people; and being always founded on opinion, not on force, it is dangerous to weaken, by these speculations, the reverence, which the multitude owe to authority, and to instruct them beforehand, that the case can ever happen, when they may be freed from their duty of allegiance. Or should it be found impossible to restrain the licence of human disquisitions, it must be acknowledged, that the doctrine of obedience ought alone to be inculcated, and that the exceptions, which are rare, ought seldom or never to be mentioned in popular reasonings and discourses. Nor is there any danger, that mankind, by this prudent reserve, should universally degenerate into a state of abject servitude. When the exception really occurs, even though it be not previously expected and descanted on, it must, from its very nature, be so obvious and undisputed, as to remove all doubt, and overpower the restraint, however great, imposed by teaching the general doctrine of obedience. But between resisting a prince and dethroning him, there is a wide interval; and the abuses of power, which can warrant the latter violence, are greater and more enormous, than those which will justify the former. History, however, supplies us with examples even of this kind; and the reality of the supposition, though, for the future, it ought ever to be little looked for, must, by all candid enquirers, be acknowledged in the past. But between dethroning a prince and punishing him, there is another very wide interval; and it were not strange, if even men of the most enlarged thought should question, whether human nature could ever, in any monarch, reach that height of depravity, as to warrant, in revolted subjects, this last act of extraordinary jurisdiction. That illusion, if it be an illusion, which teaches us to pay a sacred regard to the persons of princes, is so salutary, that to dissipate it by the formal trial and punishment of a sovereign, will have more pernicious effects upon the people, than the example of justice can be supposed to have a beneficial influence upon princes, by checking their career of tyranny. It is dangerous also, by these examples, to reduce princes to despair, or bring matters to such extremities against persons endowed with great power, as to leave them no resource, but in the most violent and most sanguinary counsels. This general position being established, it must, however, be observed, that no reader, almost of any party or principle, was ever shocked, when he read, in ancient history, that the Roman senate voted Nero, their absolute sovereign, to be a public enemy, and, even without trial, condemned him to the severest and most ignominious punishment; a punishment, from which the meanest Roman citizen, was, by the laws, exempted. The crimes of that bloody tyrant are so enormous, that they break through all rules; and extort a confession, that such a dethroned prince is no longer superior to his people, and can no longer plead, in his own defence, laws, which were established for conducting the ordinary course of administration. But when we pass from the case of Nero to that of Charles, the great disproportion, or rather total contrariety, of character immediately strikes us; and we stand astonished, that, among a civilized people, so much virtue could ever meet with so fatal a catastrophe. History, the great mistress of wisdom, furnishes examples of all kinds; and every prudential, as well as moral precept, may be authorized by those events, which her enlarged mirror is able to present to us. From the memorable revolutions, which passed in England during this period, we may naturally deduce the same useful lesson, which Charles himself, in his later years, inferred; that it is dangerous for princes, even from the appearance of necessity, to assume more authority, than the laws have allowed them. But, it must be confessed, that these events furnish us with another instruction, no less natural, and no less useful, concerning the madness of the people, the furies of fanaticism, and the danger of mercenary armies."
"Vol. 6, LXI",6,,LXI,P. 74-75 ,"A government, totally military and despotic, is [almost]{VIa(1757), 61.5: [ ]}†[10] sure, after some time, to fall into impotence and languor: But when it immediately succeeds a legal constitution, it may, at first, to foreign nations appear very vigorous and active, and may exert with more unanimity that power, spirit, and riches, which had been acquired under a better form. It seems now proper, after so long an interval, to look abroad to the general state of Europe, and to consider the measures, which England, at this time, embraced in its negotiations with the neighbouring princes. The moderate temper and unwarlike genius of the two last princes, the extreme difficulties under which they laboured at home, and the great security which they enjoyed from foreign enemies, had rendered them negligent of the transactions on the continent; and England, during their reigns, had been, in a manner, overlooked in the general system of Europe. The bold and restless genius of the protector led him to extend his alliances and enterprizes to every part of Christendom; and partly from the ascendant of his magnanimous spirit, partly from the situation of foreign kingdoms, the weight of England, even under its most legal and bravest princes, was never more sensibly felt than during this unjust and violent usurpation."
Vol. 6 LXII,6,,LXII,P. 150-151,"It is however remarkable, that the greatest genius by far, that shone out in England during this period, was deeply engaged with these fanatics, and even prostituted his pen in theological controversy, in factious disputes, and in justifying the most violent measures of the party. This was John Milton, whose poems are admirable, though liable to some objections; his prose writings disagreeable, though not altogether defective in genius. Nor are all his poems equal: His Paradise Lost, his Comus, and a few others shine out amidst some flat and insipid compositions: Even in the Paradise Lost, his capital performance, there are very long passages, amounting to near a third of the work, almost wholly destitute of harmony and elegance, nay, of all vigour of imagination. This natural inequality in Milton's genius was much encreased by the inequalities in his subject; of which some parts are of themselves the most lofty that can enter into human conception; others would have required the most laboured elegance of composition to support them. It is certain, that this author, when in a happy mood, and employed on a noble subject, is the most wonderfully sublime of any poet in any language; Homer and Lucretius and Tasso not excepted. More concise than Homer, more simple than Tasso, more nervous than Lucretius; had he lived in a later age, and learned to polish some rudeness in his verses; had he enjoyed better fortune, and possessed leisure to watch the returns of genius in himself; he had attained the pinnacle of perfection, and borne away the palm of epic poetry."
Vol. 6 LXII,6,,LXII,P. 154 ,"This age affords great materials for history; but did not produce any accomplished historian. Clarendon, however, will always be esteemed an entertaining writer, even independant of our curiosity to know the facts, which he relates. His style is prolix and redundant, and suffocates us by the length of its periods: But it discovers imagination and sentiment, and pleases us at the same time that we disapprove of it. He is more partial in appearance than in reality: For he seems perpetually anxious to apologize for the king; but his apologies are often well grounded. He is less partial in his relation of facts, than in his account of characters: He was too honest a man to falsify the former; his affections were easily capable, unknown to himself, of disguising the latter. An air of probity and goodness runs through the whole work; as these qualities did in reality embellish the whole life of the author. [He died in 1674, aged 66.]{VIa(1757), 128.2: [ ]}"
Vol. 6 LXVII,6,,LXVII,P. 361-362,"It must be owned, that this extreme violence, in prosecution of so absurd an imposture, disgraces the noble cause of liberty, in which the parliament was engaged. We may even conclude from such impatience of contradiction, that the prosecutors themselves retained a secret suspicion, that the general belief was but ill grounded. The politicians among them were afraid to let in light, lest it might put an end to so useful a delusion: The weaker and less dishonest party took care, by turning their eyes aside, not to see a truth, so opposite to those furious passions, by which they were actuated, and in which they were determined obstinately to persevere."
Vol 6 LXVIII,6,,LXVIII,P. 375-376 ,"In every mixed government, such as that of England, the bulk of the nation will always incline to preserve the entire frame of the constitution; but according to the various prejudices, interests, and dispositions of men, some will ever attach themselves with more passion to the regal, others to the popular part of the government. Though the king, after his restoration, had endeavoured to abolish the distinction of parties, and had chosen his ministers from among all denominations; no sooner had he lost his popularity, and exposed himself to general jealousy, than he found it necessary to court the old cavalier party, and to promise them full compensation for that neglect, of which they had hitherto complained. The present emergence made it still more necessary for him to apply for their support; and there were many circumstances, which determined them, at this time, to fly to the assistance of the crown, and to the protection of the royal family."
Vol 6 LXVIII,6,,LXVIII,P. 376,"A party, strongly attached to monarchy, will naturally be jealous of the right of succession, by which alone, they believe, stability to be preserved in the government, and a barrier fixed against the encroachments of popular assemblies. The project, openly embraced, of excluding the duke, appeared to that party a dangerous innovation: And the design, secretly projected, of advancing Monmouth, made them apprehensive, lest the inconveniencies of a disputed succession should be propagated to all posterity. While the jealous lovers of liberty maintained, that a king, whose title depended on the parliament, would naturally be more attentive to the interests, at least to the humours of the people; the passionate admirers of monarchy considered all dependance as a degradation of kingly government, and a great step towards the establishment of a commonwealth in England."
Vol 6 LXVIII,6,,LXVIII,P. 388-389,"In every government, said the exclusionists, there is somewhere an authority absolute and supreme; nor can any determination, how unusual soever, which receives the sanction of the legislature, admit afterwards of dispute or controul. The liberty of a constitution, so far from diminishing this absolute power, seems rather to add force to it, and to give it greater influence over the people. The more members of the state concur in any legislative decision, and the more free their voice; the less likelihood is there, that any opposition will be made to those measures, which receive the final sanction of their authority. In England, the legislative power is lodged in king, lords, and commons, which comprehend every order of the community: And there is no pretext for exempting any circumstance of government, not even the succession of the crown, from so full and decisive a jurisdiction. Even express declarations have, in this particular, been made of parliamentary authority: Instances have occurred, where it has been exerted: And though prudential reasons may justly be alledged, why such innovations should not be attempted but on extraordinary occasions, the power and right are for ever vested in the community. But if any occasion can be deemed extraordinary, if any emergence can require unusual expedients, it is the present; when the heir to the crown has renounced the religion of the state, and has zealously embraced a faith, totally hostile and incompatible. A prince of that communion can never put trust in a people, so prejudiced against him: The people must be equally diffident of such a prince: Foreign and destructive alliances will seem to one the only protection of his throne: Perpetual jealousy, opposition, faction, even insurrections will be employed by the other as the sole securities for their liberty and religion. Though theological principles, when set in opposition to passions, have often small influence on mankind in general, still less on princes; yet when they become symbols of faction, and marks of party distinctions, they concur with one of the strongest passions in the human frame, and are then capable of carrying men to the greatest extremities. Notwithstanding the better judgment and milder disposition of the king; how much has the influence of the duke already disturbed the tenor of government? How often engaged the nation into measures totally destructive of their foreign interests and honour, of their domestic repose and tranquillity? The more the absurdity and incredibility of the popish plot are insisted on, the stronger reason it affords for the exclusion of the duke; since the universal belief of it discovers the extreme antipathy of the nation to his religion, and the utter impossibility of ever bringing them to acquiesce peaceably under the dominion of such a sovereign. The prince, finding himself in so perilous a situation, must seek for security by desperate remedies, and by totally subduing the privileges of a nation, which had betrayed such hostile dispositions towards himself, and towards every thing which he deems the most sacred. It is in vain to propose limitations and expedients. Whatever share of authority is left in the duke's hands, will be employed to the destruction of the nation; and even the additional restraints, by discovering the public diffidence and aversion, will serve him as incitements to put himself in a condition entirely superior and independant. And as the laws of England still make resistance treason, and neither do nor can admit of any positive exceptions; what folly to leave the kingdom in so perilous and absurd a situation; where the greatest virtue will be exposed to the most severe proscription, and where the laws can only be saved by expedients, which these same laws have declared the highest crime and enormity?"
Vol 6 LXVIII,6,,LXVIII,P. 389-391,"The court party reasoned in an opposite manner. An authority, they said, wholly absolute and uncontroulable is a mere chimera, and is no where to be found in any human institutions. All government is founded on opinion and a sense of duty; and wherever the supreme magistrate, by any law or positive prescription, shocks an opinion regarded as fundamental, and established with a firmness equal to that of his own authority, he subverts the principle, by which he himself is established, and can no longer hope for obedience. In European monarchies, the right of succession is justly esteemed a fundamental; and even though the whole legislature be vested in a single person, it would never be permitted him by an edict, to disinherit his lawful heir, and call a stranger or more distant relation to the throne. Abuses in other parts of government are capable of redress, from more dispassionate enquiry or better information of the sovereign, and till then ought patiently to be endured: But violations of the right of succession draw such terrible consequences after them as are not to be paralleled by any other grievance or inconvenience. Vainly is it pleaded, that England is a mixed monarchy; and that a law, assented to by king, lords, and commons, is enacted by the concurrence of every part of the state: It is plain, that there remains a very powerful party, who may indeed be out-voted, but who never will deem a law, subversive of hereditary right, any wise valid or obligatory. Limitations, such as are proposed by the king, give no shock to the constitution, which, in many particulars, is already limited; and they may be so calculated as to serve every purpose, sought for by an exclusion. If the ancient barriers against regal authority have been able, during so many ages, to remain impregnable; how much more, those additional ones, which, by depriving the monarch of power, tend so far to their own security? The same jealousy too of religion, which has engaged the people to lay these restraints upon the successor, will extremely lessen the number of his partizans, and make it utterly impracticable for him, either by force or artifice, to break the fetters, imposed upon him. The king's age and vigorous state of health promise him a long life: And can it be prudent to tear in pieces the whole state, in order to provide against a contingency, which, it is very likely, may never happen? No human schemes can secure the public in all possible, imaginable, events; and the bill of exclusion itself, however accurately framed, leaves room for obvious and natural suppositions, to which it pretends not to provide any remedy. Should the duke have a son, after the king's death must that son, without any default of his own, forfeit his title? or must the princess of Orange descend from the throne, in order to give place to the lawful successor? But were all these reasonings false, it still remains to be considered, that, in public deliberations, we seek not the expedient, which is best in itself, but the best of such as are practicable. The king willingly consents to limitations, and has already offered some which are of the utmost importance: But he is determined to endure any extremity rather than allow the right of succession to be invaded. Let us beware of that factious violence, which leads to demand more than will be granted; lest we lose the advantage of those beneficial concessions, and leave the nation, on the king's demise, at the mercy of a zealous prince, irritated with the ill usage, which, he imagines, he has already met with."
Vol. 6 LXX,6,,LXX,P. 454-455,"It was said on the one hand, that jealousy of royal power was the very basis of the English constitution, and the principle, to which the nation was beholden for all that liberty, which they enjoy above the subjects of other monarchies. That this jealousy, though, at different periods, it may be more or less intense, can never safely be laid asleep, even under the best and wisest princes. That the character of the present sovereign afforded cause for the highest vigilance, by reason of the arbitrary principles, which he had imbibed; and still more, by reason of his religious zeal, which it is impossible for him ever to gratify, without assuming more authority than the constitution allows him. That power is to be watched in its very first encroachments; nor is any thing ever gained by timidity and submission. That every concession adds new force to usurpation; and at the same time, by discovering the dastardly dispositions of the people, inspires it with new courage and enterprize. That as arms were intrusted altogether in the hands of the prince, no check remained upon him but the dependent condition of his revenue; a security therefore which it would be the most egregious folly to abandon. That all the other barriers, which, of late years, had been erected against arbitrary power, would be found, without this capital article, to be rather pernicious and destructive. That new limitations in the constitution stimulated the monarch's inclination to surmount the laws, and required frequent meetings of parliament, in order to repair all the breaches, which either time or violence may have made upon that complicated fabric. That recent experience during the reign of the late king, a prince who wanted neither prudence nor moderation, had sufficiently proved the solidity of all these maxims. That his parliament, having rashly fixed his revenue for life, and at the same time repealed the triennial bill, found that they themselves were no longer of importance, and that liberty, not protected by national assemblies, was exposed to every outrage and violation. And that the more openly the king made an unreasonable demand, the more obstinately ought it to be refused; since it is evident, that his purpose in making it cannot possibly be justifiable."
Vol. 6 LXX,6,,LXX,P. 455-456,"On the other hand it was urged, that the rule of watching the very first encroachments of power could only have place, where the opposition to it could be regular, peaceful, and legal. That though the refusal of the king's present demand might seem of this nature, yet in reality it involved consequences, which led much farther than at first sight might be apprehended. That the king in his speech had intimated, that he had resources in his prerogative, which, in case of opposition from parliament, he thought himself fully entitled to employ. That if the parliament openly discovered an intention of reducing him to dependence, matters must presently be brought to a crisis, at a time the most favourable to his cause, which his most sanguine wishes could ever have promised him. That if we cast our eyes abroad, to the state of affairs on the continent, and to the situation of Scotland and Ireland; or, what is of more importance, if we consider the disposition of men's minds at home, every circumstance would be found adverse to the cause of liberty. That the country party, during the late reign, by their violent, and in many respects unjustifiable measures in parliament, by their desperate attempts out of parliament, had exposed their principles to general hatred, and had excited extreme jealousy in all the royalists and zealous churchmen, who now formed the bulk of the nation. That it would not be acceptable to that party to see this king worse treated than his brother in point of revenue, or any attempts made to keep the crown in dependence. That they thought parliaments as liable to abuse as courts, and desired not to see things in a situation, where the king could not, if he found it necessary, either prorogue or dissolve those assemblies. That if the present parliament, by making great concessions, could gain the king's confidence, and engage him to observe the promises now given them, every thing would by gentle methods succeed to their wishes. That if, on the contrary, after such instances of compliance, he formed any designs on the liberty and religion of the nation, he would, in the eyes of all mankind, render himself altogether inexcusable, and the whole people would join in opposition to him. That resistance could scarcely be attempted twice; and there was therefore the greater necessity for waiting till time and incidents had fully prepared the nation for it. That the king's prejudices in favour of popery, though in the main pernicious, were yet so far fortunate, that they rendered the connexion inseparable between the national religion and national liberty. And that if any illegal attempts were afterwards made, the church, which was at present the chief support of the crown, would surely catch the alarm, and would soon dispose the people to an effectual resistance."
Vol. 6 LXXI,6,,LXXI,P. 527-528,"The managers for the lords next insisted, that, even allowing the king's abuse of power to be equivalent to an abdication, or in other words, to a civil death, it could operate no otherwise than his voluntary resignation or his natural death; and could only make way for the next successor. It was a maxim of English law, that the throne was never vacant; but instantly, upon the demise of one king, was filled with his legal heir, who was entitled to all the authority of his predecessor. And however young or unfit for government the successor, however unfortunate in his situation, though he were even a captive in the hands of public enemies; yet no just reason, they thought, could be assigned, why, without any default of his own, he should lose a crown, to which, by birth, he was fully intitled. The managers for the commons might have opposed this reasoning by many specious and even solid arguments. They might have said, that the great security for allegiance being merely opinion, any scheme of settlement should be adopted, in which, it was most probable, the people would acquiesce and persevere. That though, upon the natural death of a king, whose administration had been agreeable to the laws, many and great inconveniencies would be endured rather than exclude his lineal successor; yet the case was not the same, when the people had been obliged, by their revolt, to dethrone a prince, whose illegal measures had, in every circumstance, violated the constitution. That in these extraordinary revolutions, the government reverted, in some degree, to its first principles, and the community acquired a right of providing for the public interest by expedients, which, on other occasions, might be deemed violent and irregular. That the recent use of one extraordinary remedy reconciled the people to the practice of another, and more familiarized their minds to such licences, than if the government had run on in its usual tenor. And that king James, having carried abroad his son, as well as withdrawn himself, had given such just provocation to the kingdom, had voluntarily involved it in such difficulties, that the interests of his family were justly sacrificed to the public settlement and tranquillity. Though these topics seem reasonable, they were entirely forborne by the whig managers; both because they implied an acknowledgment of the infant prince's legitimacy, which it was agreed to keep in obscurity, and because they contained too express a condemnation of tory principles. They were content to maintain the vote of the commons by shifts and evasions; and both sides parted at last without coming to any agreement."
